,club,value
196,Boavista FC,88482000.0
197,Royal Antwerp FC,88435000.0
198,Sporting Kansas City,88112000.0
199,Palermo,88055000.0
200,Bursaspor,87136000.0
201,América FC (Minas Gerais),86836000.0
202,Moreirense FC,85656000.0
203,CD Nacional,84963000.0
204,BSC Young Boys,83393000.0
205,U.N.A.M.,82843000.0
206,Club Atlético Colón,82646000.0
207,FC København,81636000.0
208,Colo-Colo,81253000.0
209,Club Atlético Lanús,80906000.0
210,Real Oviedo,80751000.0
211,Seattle Sounders FC,80465000.0
212,Club Tijuana,80050000.0
213,Jiangsu Suning FC,78958000.0
214,Kaizer Chiefs,78736000.0
215,Real Sporting de Gijón,78379000.0
216,Parma,77422000.0
217,Columbus Crew SC,76388000.0
218,SD Huesca,76355000.0
219,Vitória,75826000.0
220,Nîmes Olympique,75798000.0
221,Bahia,75002000.0
222,Shanghai Greenland Shenhua FC,74685000.0
223,Junior FC,74527000.0
224,DC United,74445000.0
225,Atlético Nacional,74398000.0
226,FC Ingolstadt 04,74296000.0
227,Deportivo Toluca,73853000.0
228,Club León,73707000.0
229,Vitesse,73417000.0
230,Sivasspor,73002000.0
231,Queens Park Rangers,72949000.0
232,CD Aves,72841000.0
233,Al Wehda,72613000.0
234,FC Dallas,72386000.0
235,Guangzhou R&F; FC,72260000.0
236,New York City FC,72139000.0
237,Reading,72073000.0
238,Deportivo Cali,71361000.0
239,FC Utrecht,71114000.0
240,Sheffield United,69944000.0
241,Club Atlas,69203000.0
242,Vélez Sarsfield,68975000.0
243,Hull City,68784000.0
244,Real Zaragoza,67878000.0
245,1. FC Union Berlin,67847000.0
246,Yeni Malatyaspor,67768000.0
247,Birmingham City,67331000.0
248,Santa Clara,67057000.0
249,Real Salt Lake,66800000.0
250,CD Tenerife,66583000.0
251,Godoy Cruz,66108000.0
252,Querétaro,66082000.0
253,Rosario Central,64832000.0
254,Changchun Yatai FC,64601000.0
255,Shandong Luneng TaiShan FC,64579000.0
256,CA Osasuna,64500000.0
257,Atlético Paranaense,64128000.0
258,Universidad de Chile,63954000.0
259,FC Midtjylland,63896000.0
260,Monarcas Morelia,63635000.0
261,Hebei China Fortune FC,62485000.0
262,Al Ittihad,62282000.0
263,Blackburn Rovers,62159000.0
264,FC St. Pauli,62132000.0
265,SV Darmstadt 98,62061000.0
266,Sport Club do Recife,61962000.0
267,SK Rapid Wien,61894000.0
268,Club Atlético Huracán,61586000.0
269,SC Heerenveen,60316000.0
270,Portland Timbers,59600000.0
271,Orlando Pirates,59412000.0
272,CD Numancia,59382000.0
273,Wigan Athletic,59308000.0
274,Sporting de Charleroi,58915000.0
275,Universidad Católica,58739000.0
276,Os Belenenses,58601000.0
277,Club Necaxa,58264000.0
278,VfL Bochum 1848,57706000.0
279,CD Tondela,57670000.0
280,Sint-Truidense VV,57555000.0
281,Vancouver Whitecaps FC,57334000.0
282,Millonarios FC,57208000.0
283,Orlando City SC,56829000.0
284,Estudiantes de La Plata,56772000.0
285,Chapecoense,56501000.0
286,Rosenborg BK,56459000.0
287,FC Groningen,56266000.0
288,Chongqing Dangdai Lifan FC SWM Team,56155000.0
289,KV Oostende,55656000.0
290,AJ Auxerre,55112000.0
291,Millwall,54808000.0
292,Malmö FF,54358000.0
293,Minnesota United FC,54206000.0
294,Club Atlético Banfield,53846000.0
295,MSV Duisburg,53075000.0
296,CD Lugo,52609000.0
297,Sporting Lokeren,52390000.0
298,Houston Dynamo,52307000.0
299,Kashima Antlers,52057000.0
300,DSC Arminia Bielefeld,51892000.0
301,SV Sandhausen,51515000.0
302,Brøndby IF,51439000.0
303,BB Erzurumspor,51396000.0
304,Unión de Santa Fe,51140000.0
305,Puebla FC,51133000.0
306,Guizhou Hengfeng FC,50624000.0
307,Philadelphia Union,50622000.0
308,Montreal Impact,50293000.0
309,KV Kortrijk,50256000.0
310,Defensa y Justicia,50068000.0
311,Tianjin Quanjian FC,50046000.0
312,Legia Warszawa,50044000.0
313,Club Atlético Talleres,49999000.0
314,Ipswich Town,49905000.0
315,ADO Den Haag,49287000.0
316,Henan Jianye FC,49042000.0
317,Independiente Santa Fe,48860000.0
318,Chicago Fire,48757000.0
319,FC Lorient,48723000.0
320,Paraná,48610000.0
321,Holstein Kiel,48384000.0
322,Cádiz CF,48029000.0
323,Granada CF,47558000.0
324,Atlético Tucumán,47204000.0
